Geneid	SRR1039513	SRR1039512	SRR1039508	SRR1039509
CAMTA1-IT1	0	0	0	0
Z97987.1	0	0	0	0
AL365194.1	0	0	0	0
AL359881.3	0	0	0	0
AL359881.2	0	0	0	0
AL359881.1	0	0	0	0
VAMP3	511	0	0	0
Z98884.2	0	0	0	0
PER3	12	0	0	0
Z98884.1	2	0	0	0
UTS2	0	0	0	0
TNFRSF9	0	0	0	0
AL009183.1	0	0	0	0
PARK7	235	0	2	1
RF00019	0	0	0	0
AL034417.4	6	0	1	0
AL034417.3	0	0	0	0
ERRFI1	846	0	0	0
AL034417.2	0	0	0	0
AL034417.1	121	0	0	0
AL358876.1	0	0	0	0
LINC01714	0	0	0	0
RNU1-7P	0	0	0	0
AL358876.2	0	0	0	0
RNU6-991P	0	0	0	0
SLC45A1	32	0	0	0
RERE	335	0	0	0
AL096855.1	0	0	0	0
RF00599	0	0	0	0
AL096855.2	0	0	0	0
RPL7P11	162	0	0	0
RPL7P7	22	0	0	0
AL357552.1	0	0	0	0
AL357552.2	0	0	0	0
RPL23AP19	1	0	0	0
ENO1	1473	0	0	0
MIR6728	0	0	0	0
ENO1-AS1	0	0	0	0
RNU6-304P	0	0	0	0
HMGN2P17	52	0	0	0
AL139415.1	2	0	0	0
AL139415.2	0	0	0	0
CA6	1	0	2	0
RN7SL451P	0	0	0	0
SLC2A7	0	0	0	0
SLC2A5	12	0	0	0
RF00424	0	0	0	0
GPR157	9	1	3	2
MIR34AHG	39	0	0	0
MIR34A	0	0	0	0
LINC01759	8	0	0	0
H6PD	1025	0	1	0
SPSB1	108	0	0	0
BX323043.1	0	0	0	0
AL928921.2	4	0	1	0
RNA5SP40	0	0	0	0
AL928921.1	0	0	0	0
SLC25A33	10	0	1	1
AL954705.1	23	0	0	0
TMEM201	12	0	0	0
PIK3CD	55	0	0	0
PIK3CD-AS1	0	0	0	0
AL691449.1	0	0	0	0
PIK3CD-AS2	0	0	0	0
CLSTN1	930	0	0	0
MZT1P1	2	0	0	0
AL357140.3	0	0	0	1
CTNNBIP1	27	0	0	0
AL357140.1	0	0	0	0
LZIC	29	0	0	0
AL357140.2	0	0	0	0
NMNAT1	43	0	1	1
RN7SKP269	0	0	0	0
AL357140.4	0	0	0	0
MIR5697	0	0	0	0
AL603962.1	0	0	0	0
RBP7	0	0	0	0
