Geneid	SRR1039508	SRR1039509	SRR1039513	SRR1039512
GABRD	1	0	1	0
AL391845.1	0	0	0	0
PRKCZ	0	2	2	0
AL590822.2	0	0	0	0
PRKCZ-AS1	1	2	1	0
FAAP20	59	69	34	0
AL590822.1	0	0	0	0
SKI	202	174	118	0
MORN1	4	6	4	0
AL589739.1	0	0	0	0
AL513477.1	5	2	4	0
AL513477.2	0	0	0	0
RER1	155	212	116	0
PEX10	20	10	9	0
PLCH2	0	0	0	0
AL139246.1	0	0	0	0
AL139246.4	0	0	1	0
PANK4	25	40	11	0
HES5	0	0	0	0
AL139246.5	0	0	0	0
TNFRSF14-AS1	0	1	0	0
TNFRSF14	55	46	16	0
AL139246.2	0	0	0	0
AL139246.3	1	0	0	0
FAM213B	30	41	22	0
MMEL1	0	0	0	0
AL831784.1	0	0	0	0
TTC34	3	0	0	0
AC242022.1	0	0	0	0
AL592464.2	0	0	0	0
AL592464.1	0	0	0	0
AL589702.1	0	0	0	0
ACTRT2	0	0	0	0
LINC00982	1	1	0	0
PRDM16	7	4	1	0
MIR4251	0	0	0	0
AL008733.1	0	0	0	0
AL512383.1	0	0	0	0
AL590438.1	1	0	0	0
ARHGEF16	0	0	0	0
AL512413.1	0	0	0	0
MEGF6	35	27	45	0
MIR551A	0	0	0	0
AL513320.1	0	1	0	0
TPRG1L	161	107	127	0
WRAP73	28	33	17	0
TP73	0	0	0	0
AL136528.1	0	0	0	0
AL136528.2	0	0	0	0
TP73-AS1	90	51	47	0
RF02197	0	0	0	0
CCDC27	0	1	0	0
SMIM1	5	1	0	0
LRRC47	61	64	49	0
RN7SL574P	1	0	0	0
AL365330.1	0	0	0	0
CEP104	58	56	43	0
DFFB	8	11	5	0
C1orf174	32	26	23	0
LINC01134	2	0	0	0
LINC01346	0	0	0	0
LINC01345	0	0	0	0
AL805961.1	0	0	0	0
AL805961.2	0	1	0	0
EEF1DP6	0	0	0	0
LINC01777	0	0	0	0
AL355602.1	0	0	0	0
Z98747.1	0	0	0	0
LINC01646	0	0	0	0
AJAP1	0	0	0	0
BX005132.2	0	0	0	0
BX005132.1	0	0	0	0
AL691497.1	0	0	0	0
AL139823.1	0	0	0	0
Z98259.3	0	0	0	0
Z98259.2	0	0	0	0
Z98259.1	0	0	0	0
Z97988.1	0	0	0	0
AL365255.1	0	0	0	0
MIR4417	0	0	0	0
MIR4689	0	0	0	0
NPHP4	31	29	5	0
KCNAB2	17	20	16	0
CHD5	3	0	0	0
RPL22	950	838	571	0
AL031847.1	1	0	0	0
RNF207	6	1	4	0
ICMT	246	0	189	0
LINC00337	0	0	0	0
HES3	0	0	0	0
GPR153	86	0	20	0
ACOT7	17	0	36	0
AL031848.2	0	0	0	0
HES2	1	0	1	0
ESPN	0	0	0	0
MIR4252	0	0	0	0
AL031848.1	0	0	0	0
TNFRSF25	0	0	2	0
PLEKHG5	0	0	3	0
NOL9	2	0	16	0
RNU6-731P	0	0	0	0
AL591866.1	0	0	0	0
TAS1R1	0	0	0	0
ZBTB48	0	0	16	0
KLHL21	1	0	199	0
PHF13	0	0	48	0
THAP3	0	0	11	0
DNAJC11	0	0	38	0
LINC01672	0	0	0	0
AL591163.1	0	0	1	0
CAMTA1-DT	0	0	0	0
CAMTA1	0	0	13	0
AL590128.1	0	0	0	0
AL512330.1	0	0	0	0
RNU1-8P	0	0	0	0
CAMTA1-IT1	0	0	0	0
Z97987.1	0	0	0	0
AL365194.1	0	0	0	0
AL359881.3	0	0	0	0
AL359881.2	0	0	0	0
AL359881.1	0	0	0	0
VAMP3	0	0	256	0
Z98884.2	0	0	0	0
PER3	0	0	5	0
Z98884.1	0	0	1	0
UTS2	0	0	0	0
TNFRSF9	0	0	0	0
AL009183.1	0	0	0	0
PARK7	1	0	117	0
RF00019	0	0	0	0
AL034417.4	0	0	3	0
AL034417.3	0	0	0	0
ERRFI1	0	0	423	0
AL034417.2	0	0	0	0
AL034417.1	0	0	63	0
AL358876.1	0	0	0	0
LINC01714	0	0	0	0
RNU1-7P	0	0	0	0
AL358876.2	0	0	0	0
RNU6-991P	0	0	0	0
SLC45A1	0	0	16	0
RERE	0	0	166	0
AL096855.1	0	0	0	0
RF00599	0	0	0	0
AL096855.2	0	0	0	0
RPL7P11	0	0	71	0
RPL7P7	0	0	14	0
AL357552.1	0	0	0	0
AL357552.2	0	0	0	0
RPL23AP19	0	0	0	0
ENO1	1	0	736	0
MIR6728	0	0	0	0
ENO1-AS1	0	0	0	0
RNU6-304P	0	0	0	0
HMGN2P17	0	0	26	0
AL139415.1	0	0	1	0
AL139415.2	0	0	0	0
CA6	1	0	1	0
RN7SL451P	0	0	0	0
SLC2A7	0	0	0	0
SLC2A5	0	0	6	0
RF00424	0	0	0	0
GPR157	2	2	6	1
MIR34AHG	0	0	20	0
MIR34A	0	0	0	0
LINC01759	0	0	3	0
H6PD	0	0	510	0
SPSB1	0	0	54	0
BX323043.1	0	0	0	0
AL928921.2	1	0	2	0
RNA5SP40	0	0	0	0
AL928921.1	0	0	0	0
SLC25A33	0	1	4	0
AL954705.1	0	0	13	0
TMEM201	0	0	7	0
PIK3CD	0	0	27	0
PIK3CD-AS1	0	0	0	0
AL691449.1	0	0	0	0
PIK3CD-AS2	0	0	0	0
CLSTN1	0	0	466	0
MZT1P1	0	0	1	0
AL357140.3	0	1	0	0
CTNNBIP1	0	0	14	0
AL357140.1	0	0	0	0
LZIC	0	0	15	0
AL357140.2	0	0	0	0
NMNAT1	0	1	22	0
RN7SKP269	0	0	0	0
AL357140.4	0	0	0	0
MIR5697	0	0	0	0
AL603962.1	0	0	0	0
RBP7	0	0	0	0
